replicate,seed,posterior,K,param,estimate,truth,rel_bias_pct,marginal_ll,mean_ess,frac_bad,n_steps_run,converged,secs,cpu_secs
2,1002,amortized,64,sigma,0.20698598065255627,0.2,3.4929903262781306,-165.72104833872353,2027.0484937801286,0.0,16000,True,33.96362280845642,43.75783200000001
3,1003,free,1,CL,2.9734820894141865,3.0,-0.8839303528604514,-162.28719817615388,3098.655833951391,0.0,17000,True,6.099813938140869,6.067067000000009
3,1003,free,1,V,28.85994167932719,30.0,-3.8001944022427026,-162.28719817615388,3098.655833951391,0.0,17000,True,6.099821090698242,6.067067000000009
3,1003,free,1,ka,1.0395124491459515,1.2,-13.373962571170702,-162.28719817615388,3098.655833951391,0.0,17000,True,6.099825859069824,6.067067000000009
3,1003,free,1,om_CL,0.2770262195514063,0.3,-7.657926816197888,-162.28719817615388,3098.655833951391,0.0,17000,True,6.0998311042785645,6.067067000000009
3,1003,free,1,om_V,0.03741223294955693,0.2,-81.29388352522153,-162.28719817615388,3098.655833951391,0.0,17000,True,6.09983491897583,6.067067000000009
3,1003,free,1,om_ka,0.4579835047560973,0.4,14.495876189024314,-162.28719817615388,3098.655833951391,0.0,17000,True,6.099838972091675,6.067067000000009
3,1003,free,1,sigma,0.21801994031753594,0.2,9.009970158767963,-162.28719817615388,3098.655833951391,0.0,17000,True,6.0998430252075195,6.067067000000009
3,1003,free,8,CL,3.0898012685950103,3.0,2.993375619833675,-141.25830165352917,1736.889789008323,0.0,6750,True,3.4569427967071533,3.7228410000000167
3,1003,free,8,V,29.113493836914532,30.0,-2.9550205436182253,-141.25830165352917,1736.889789008323,0.0,6750,True,3.4569509029388428,3.7228410000000167
3,1003,free,8,ka,1.077544447939575,1.2,-10.204629338368743,-141.25830165352917,1736.889789008323,0.0,6750,True,3.456955671310425,3.7228410000000167
